seed,plan_cost,exec_us,rows,query
164,1775,171,3,"SELECT markets.id, markets.note AS c529, markets.region
FROM markets
WHERE (markets.region = 'EUROPE' OR markets.id <= 91)
ORDER BY markets.region ASC, markets.id ASC, markets.note ASC;"
165,6320,155,3,"SELECT books.id, COUNT(books.price), SUM(books.id)
FROM books
GROUP BY books.id;"
166,2328,151,9,"SELECT regions.id
FROM regions
WHERE regions.id NOT IN (2, 95)
ORDER BY regions.id ASC;"
167,1122,265,0,"SELECT t0.id
FROM customers AS t0
WHERE ((t0.region_id > 32 AND t0.id = 78) AND (t0.id >= 20 OR t0.id IS NULL));"
168,31392,1276,1,"SELECT t1.region AS c6909, t1.note, SUM(t2.id)
FROM customers AS t0 LEFT JOIN markets AS t1 ON t0.id = t1.id CROSS JOIN departments AS t2
WHERE ((t0.id = 89 OR t1.id BETWEEN 49 AND 71) AND t0.id IS NOT NULL)
GROUP BY t1.region, t1.note
ORDER BY t1.region ASC;"
169,12160,272,2,"SELECT departments.id
FROM departments RIGHT JOIN markets ON departments.id = markets.id
WHERE departments.id != 1
GROUP BY departments.id;"
170,14760,2948,505,"SELECT t1.id AS c5737, t0.customer_id
FROM orders AS t0 LEFT JOIN departments AS t1 ON t0.id = t1.id
GROUP BY t1.id, t0.customer_id
ORDER BY t0.customer_id DESC, t1.id ASC;"
171,83620,525,110,"SELECT employees.id AS c3715
FROM regions CROSS JOIN employees FULL JOIN books ON regions.id = books.id;"
172,9775,683,0,"SELECT t0.id, t0.department_id AS c3676, t1.region_id
FROM employees AS t0 FULL JOIN customers AS t1 ON t0.id = t1.id
WHERE t0.department_id >= 57
ORDER BY t0.id DESC, t1.region_id ASC;"
173,22300,20218,85000,"SELECT orders.customer_id
FROM users CROSS JOIN orders
ORDER BY orders.customer_id DESC;"
174,1432,152,3,"SELECT users.id, users.age
FROM users
WHERE users.id IN (3, 11, 12)
ORDER BY users.age DESC, users.id DESC;"
175,2822,250,1,"SELECT books.id, employees.id, employees.department_id
FROM employees RIGHT JOIN books ON employees.id = books.id
WHERE books.price = 77;"
176,4160,169,2,"SELECT books.price, SUM(books.price) AS c5357
FROM books
WHERE books.price >= 66
GROUP BY books.price;"
177,2085,150,14,"SELECT users.id, users.age AS c4847
FROM users
WHERE (users.age < 16 OR users.age < 71)
ORDER BY users.id ASC, users.age DESC;"
178,1660,133,17,"SELECT users.age AS c7380, users.id
FROM users
ORDER BY users.id DESC;"
179,6688,415,500,"SELECT customers.id, customers.region_id
FROM customers
WHERE ((customers.id != 141 OR customers.region_id != 10) OR (customers.id NOT IN (197) OR customers.region_id IN (8)))
GROUP BY customers.id, customers.region_id;"
180,6760,402,500,"SELECT customers.id AS c95, customers.region_id
FROM customers
GROUP BY customers.id, customers.region_id
ORDER BY customers.region_id DESC;"
181,649400,2991,500,"SELECT customers.region_id AS c397, customers.id AS c5003, SUM(books.id)
FROM customers CROSS JOIN books CROSS JOIN departments
GROUP BY customers.region_id, customers.id;"
182,10070,1156,500,"SELECT t1.id AS c6022, t0.id
FROM orders AS t0 JOIN customers AS t1 ON t0.id = t1.id
GROUP BY t1.id, t0.id;"
183,1632,229,1,"SELECT customers.id, COUNT(customers.id), COUNT(customers.id)
FROM customers
WHERE customers.id = 24
GROUP BY customers.id;"
184,18500,494,500,"SELECT books.price AS c5308, customers.region_id AS c1694
FROM books CROSS JOIN customers
WHERE books.price <= 55;"
185,1220,134,5,"SELECT t0.id AS c9527
FROM departments AS t0;"
186,9220,284,18,"SELECT users.id
FROM regions FULL JOIN users ON regions.id = users.id;"
187,9930,306,8,"SELECT users.id, regions.id, users.age AS c4755
FROM users LEFT JOIN regions ON users.id = regions.id
WHERE ((regions.id != 31 AND users.age <= 64) OR users.id >= 66)
ORDER BY users.age DESC;"
188,27984,334,0,"SELECT t2.price AS c5573, COUNT(*)
FROM employees AS t0 RIGHT JOIN departments AS t1 ON t0.id = t1.id CROSS JOIN books AS t2
WHERE (t2.price > 55 AND t0.id BETWEEN 66 AND 69)
GROUP BY t2.price;"
189,2292,319,0,"SELECT markets.id AS c7660
FROM markets JOIN customers ON markets.id = customers.id
WHERE (markets.note IS NULL AND (customers.id = 198 AND markets.region IN ('AMERICA', 'EUROPE')));"
190,6760,164,5,"SELECT departments.id
FROM departments
GROUP BY departments.id
ORDER BY departments.id DESC;"
191,49850,319,55,"SELECT departments.id, employees.id
FROM departments JOIN regions ON departments.id = regions.id CROSS JOIN employees
WHERE employees.id IS NOT NULL
GROUP BY departments.id, employees.id
ORDER BY departments.id DESC, employees.id ASC;"
192,13620,267,3,"SELECT books.id, markets.region
FROM markets CROSS JOIN books
WHERE markets.region = 'EUROPE';"
193,11870,661,10,"SELECT customers.region_id, regions.id
FROM users JOIN regions ON users.id = regions.id LEFT JOIN customers ON regions.id = customers.id;"
194,225614,8292,25000,"SELECT t2.id
FROM customers AS t0 CROSS JOIN markets AS t1 CROSS JOIN users AS t2
WHERE ((t1.id IN (3) OR t2.age != 1) OR (t1.id != 2 OR t2.id > 61));"
195,17220,7112,10,"SELECT t0.id
FROM regions AS t0 FULL JOIN books AS t1 ON t0.id = t1.id LEFT JOIN orders AS t2 ON t1.id = t2.id;"
196,68250,595,30,"SELECT customers.region_id, books.id, SUM(regions.id), SUM(customers.region_id)
FROM books JOIN regions ON books.id = regions.id CROSS JOIN customers
GROUP BY customers.region_id, books.id;"
197,7720,252,3,"SELECT t0.price AS c8028, t2.id
FROM books AS t0 JOIN customers AS t1 ON t0.id = t1.id JOIN regions AS t2 ON t1.id = t2.id;"
198,1220,134,17,"SELECT t0.age AS c2991
FROM users AS t0;"
199,18134,295,30,"SELECT t1.id, t0.id
FROM regions AS t0 CROSS JOIN users AS t1
WHERE (t1.age BETWEEN 33 AND 33 OR t1.id IN (12, 49, 95));"
200,2085,145,6,"SELECT employees.department_id
FROM employees
WHERE ((employees.id > 66 OR employees.id IN (33)) OR employees.department_id IN (6, 12, 12, 50))
ORDER BY employees.department_id DESC;"
201,1220,1137,5000,"SELECT orders.customer_id, orders.id
FROM orders;"
202,4666,206,6,"SELECT employees.id AS c3304, users.id AS c2088
FROM users JOIN employees ON users.id = employees.id
WHERE ((users.age IN (42, 64) OR users.id < 16) AND users.id != 99)
GROUP BY employees.id, users.id;"
203,6320,150,3,"SELECT books.id, books.price
FROM books
GROUP BY books.id, books.price;"
204,10170,272,3,"SELECT t0.id AS c8592, t1.region
FROM customers AS t0 JOIN markets AS t1 ON t0.id = t1.id
GROUP BY t0.id, t1.region;"
205,13664,12314,1,"SELECT t1.id AS c8725, SUM(t1.id), COUNT(*)
FROM users AS t0 CROSS JOIN orders AS t1
WHERE (t0.age IN (33, 64) AND t1.id = 156)
GROUP BY t1.id;"
206,1220,250,500,"SELECT t0.id AS c4257
FROM customers AS t0;"
207,20110,4160,0,"SELECT t1.customer_id, t0.department_id
FROM employees AS t0 CROSS JOIN orders AS t1 JOIN customers AS t2 ON t1.id = t2.id
WHERE t0.department_id IS NULL;"
208,9220,264,3,"SELECT books.price AS c3720, employees.department_id, books.id
FROM employees RIGHT JOIN books ON employees.id = books.id;"
209,11210,449,2,"SELECT t2.region, t1.id, COUNT(t2.id)
FROM books AS t0 JOIN customers AS t1 ON t0.id = t1.id FULL JOIN markets AS t2 ON t0.id = t2.id
WHERE t0.id < 1
GROUP BY t2.region, t1.id;"
210,14600,3063,15000,"SELECT orders.id, books.id AS c7933, orders.customer_id
FROM books CROSS JOIN orders;"
211,84010,3085577,0,"SELECT t2.region_id, t2.id, t0.customer_id
FROM orders AS t0 CROSS JOIN users AS t1 LEFT JOIN customers AS t2 ON t1.id = t2.id
WHERE t2.region_id >= 23;"
212,14320,2182,3,"SELECT orders.id
FROM books LEFT JOIN orders ON books.id = orders.id
GROUP BY orders.id;"
213,1620,141,2,"SELECT t0.id
FROM regions AS t0
WHERE t0.id IN (4, 4, 9, 88)
ORDER BY t0.id ASC;"
214,178400,91814,247665,"SELECT orders.id, orders.customer_id, employees.id
FROM orders CROSS JOIN employees CROSS JOIN departments
WHERE orders.customer_id >= 52;"
215,1610,966,29,"SELECT t0.customer_id
FROM orders AS t0
WHERE t0.id < 30;"
216,1488,142,3,"SELECT departments.id
FROM departments
WHERE departments.id IN (1, 3, 4, 60);"
217,12160,683,3,"SELECT t0.id, t1.region_id
FROM employees AS t0 LEFT JOIN customers AS t1 ON t0.id = t1.id
WHERE t1.region_id >= 8
GROUP BY t0.id, t1.region_id;"
218,9220,241,5,"SELECT books.price AS c5412, books.id, departments.id AS c9618
FROM departments LEFT JOIN books ON departments.id = books.id;"
219,178400,23808,45000,"SELECT t1.note, t0.customer_id AS c4395
FROM orders AS t0 CROSS JOIN markets AS t1 CROSS JOIN books AS t2
WHERE t1.region IS NOT NULL;"
220,83832,1508595,45001,"SELECT customers.region_id, orders.id, employees.id
FROM employees CROSS JOIN orders RIGHT JOIN customers ON employees.id = customers.id
WHERE (customers.id IN (181) OR employees.id BETWEEN 3 AND 92)
ORDER BY customers.region_id ASC;"
221,1133,144,0,"SELECT t0.id AS c9777
FROM regions AS t0
WHERE ((t0.id <= 5 OR t0.id IN (4, 12)) AND (t0.id = 9 AND t0.id NOT IN (2, 4, 5, 89)))
ORDER BY t0.id ASC;"
222,6056,174,11,"SELECT t0.id, t0.department_id AS c2878, COUNT(t0.id), COUNT(*) AS c2633
FROM employees AS t0
WHERE ((t0.department_id IS NOT NULL OR t0.department_id IS NOT NULL) OR (t0.id > 26 OR t0.id = 52))
GROUP BY t0.id, t0.department_id;"
223,14600,13517,55000,"SELECT t0.id
FROM orders AS t0 CROSS JOIN employees AS t1;"
224,1220,136,11,"SELECT employees.department_id
FROM employees;"
225,12970,4690,11,"SELECT orders.customer_id, customers.id AS c4775, employees.department_id AS c6986
FROM employees LEFT JOIN customers ON employees.id = customers.id JOIN orders ON employees.id = orders.id;"
226,9854,279,3,"SELECT books.id, regions.id, books.price AS c1520
FROM books LEFT JOIN regions ON books.id = regions.id
WHERE ((regions.id < 10 OR books.price = 77) OR books.price > 60);"
227,9122,5911,9,"SELECT orders.id, books.price, orders.customer_id AS c7568
FROM orders FULL JOIN books ON orders.id = books.id
WHERE orders.customer_id = 63;"
228,25402,1409,1000,"SELECT t1.id AS c1443, t2.region_id AS c2237
FROM employees AS t0 LEFT JOIN markets AS t1 ON t0.id = t1.id CROSS JOIN customers AS t2
WHERE ((t1.id < 3 OR t1.region = 'AMERICA') AND (t2.region_id IS NULL OR t1.note != 'North, South'));"
229,26940,545,0,"SELECT departments.id
FROM departments LEFT JOIN customers ON departments.id = customers.id CROSS JOIN markets
WHERE markets.region IS NULL
ORDER BY departments.id ASC;"
230,11870,10874,5000,"SELECT departments.id, users.age AS c5139, orders.id
FROM departments JOIN users ON departments.id = users.id FULL JOIN orders ON users.id = orders.id;"
231,1220,123,5,"SELECT departments.id
FROM departments;"
232,14760,765,16,"SELECT customers.id, COUNT(*) AS c3789
FROM customers RIGHT JOIN users ON customers.id = users.id
GROUP BY customers.id
ORDER BY customers.id DESC;"
233,22470,746,1353,"SELECT departments.id
FROM departments JOIN markets ON departments.id = markets.id CROSS JOIN customers
WHERE (customers.region_id NOT IN (10, 10) AND (customers.id <= 80 OR departments.id >= 1));"
234,9220,256,10,"SELECT t0.note
FROM markets AS t0 FULL JOIN regions AS t1 ON t0.id = t1.id;"
235,5604,255,1,"SELECT t1.region_id AS c5511
FROM books AS t0 JOIN customers AS t1 ON t0.id = t1.id
WHERE (t0.price NOT BETWEEN 66 AND 94 OR (t0.id > 3 AND t1.region_id = 10));"
236,17660,4310,17,"SELECT t1.department_id AS c2338, t0.customer_id
FROM orders AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN users AS t2 ON t1.id = t2.id
ORDER BY t1.department_id ASC;"
237,22600,2092,5010,"SELECT regions.id
FROM users FULL JOIN customers ON users.id = customers.id CROSS JOIN regions;"
238,6122,652,0,"SELECT customers.region_id
FROM customers LEFT JOIN employees ON customers.id = employees.id
WHERE (employees.id IN (38) AND customers.region_id != 5);"
239,4325,176,6,"SELECT employees.id
FROM employees
WHERE employees.id > 5
GROUP BY employees.id
ORDER BY employees.id DESC;"
240,649400,379,3,"SELECT t0.price AS c6143, SUM(t2.id)
FROM books AS t0 CROSS JOIN users AS t1 CROSS JOIN departments AS t2
GROUP BY t0.price;"
241,22600,3857,25000,"SELECT customers.id, customers.region_id, departments.id
FROM customers RIGHT JOIN departments ON customers.id = departments.id CROSS JOIN orders;"
242,13864,236,0,"SELECT books.id
FROM books CROSS JOIN employees
WHERE (employees.id != 33 AND (employees.id < 1 AND employees.department_id < 12));"
243,7730,1760,5,"SELECT employees.department_id, books.price AS c4475, books.id AS c4655
FROM orders JOIN employees ON orders.id = employees.id RIGHT JOIN books ON employees.id = books.id
WHERE ((orders.id >= 13 AND orders.customer_id != 233) OR (orders.id > 39 AND orders.customer_id <= 359))
ORDER BY books.id DESC;"
244,10922,333,0,"SELECT regions.id
FROM regions RIGHT JOIN employees ON regions.id = employees.id LEFT JOIN markets ON employees.id = markets.id
WHERE (regions.id NOT BETWEEN 2 AND 8 AND markets.note = 'Fast lane');"
245,1775,142,1,"SELECT markets.note, markets.region, markets.id
FROM markets
WHERE ((markets.region != 'AMERICA' AND markets.region = 'AMERICA') OR markets.id < 2)
ORDER BY markets.note DESC, markets.id ASC, markets.region DESC;"
246,1244,154,9,"SELECT regions.id AS c713
FROM regions
WHERE regions.id BETWEEN 2 AND 45;"
247,14408,2095,3,"SELECT t0.id AS c7208
FROM orders AS t0 RIGHT JOIN books AS t1 ON t0.id = t1.id
WHERE t0.customer_id NOT IN (244, 365)
GROUP BY t0.id
ORDER BY t0.id ASC;"
248,13424,7694,5000,"SELECT t1.id, COUNT(*), SUM(t0.id) AS c7387
FROM users AS t0 RIGHT JOIN orders AS t1 ON t0.id = t1.id
WHERE ((t1.customer_id = 494 AND t1.customer_id != 145) OR (t0.age > 53 OR t1.customer_id IS NOT NULL))
GROUP BY t1.id;"
249,9610,256,3,"SELECT markets.region, users.age
FROM markets LEFT JOIN users ON markets.id = users.id
WHERE users.id < 17;"
250,9220,591,10,"SELECT customers.id, customers.region_id
FROM regions LEFT JOIN customers ON regions.id = customers.id;"
251,9775,4003,42,"SELECT orders.customer_id, regions.id, orders.id AS c3346
FROM regions FULL JOIN orders ON regions.id = orders.id
WHERE orders.id <= 42
ORDER BY regions.id ASC;"
252,83533,19602,39,"SELECT orders.id AS c8852, orders.customer_id, books.price AS c8813
FROM books CROSS JOIN orders FULL JOIN departments ON orders.id = departments.id
WHERE ((orders.customer_id = 163 OR orders.id IN (69, 96, 152)) AND (orders.id IS NOT NULL AND books.id IS NOT NULL))
ORDER BY orders.id DESC;"
253,18894,439,40,"SELECT customers.id
FROM regions CROSS JOIN employees JOIN customers ON employees.id = customers.id
WHERE (employees.id IS NOT NULL AND customers.id >= 65);"
254,9220,246,11,"SELECT markets.id AS c3977, employees.department_id
FROM markets FULL JOIN employees ON markets.id = employees.id;"
255,6320,2350,5000,"SELECT orders.id, orders.customer_id AS c7286
FROM orders
GROUP BY orders.id, orders.customer_id;"
256,31360,277,9,"SELECT t0.id, t1.id AS c9218
FROM markets AS t0 CROSS JOIN employees AS t1
WHERE t1.department_id IN (5, 12, 33)
GROUP BY t0.id, t1.id;"
257,8970,178,3,"SELECT t1.price, t0.id AS c7828
FROM regions AS t0 JOIN books AS t1 ON t0.id = t1.id
GROUP BY t1.price, t0.id;"
258,18510,378,3,"SELECT customers.region_id
FROM customers JOIN users ON customers.id = users.id RIGHT JOIN markets ON customers.id = markets.id
GROUP BY customers.region_id
ORDER BY customers.region_id DESC;"
259,1660,255,500,"SELECT customers.id
FROM customers
ORDER BY customers.id ASC;"
260,1366,237,118,"SELECT customers.region_id, customers.id
FROM customers
WHERE ((customers.region_id IS NULL OR customers.id >= 198) AND customers.region_id <= 4);"
261,14760,449,3,"SELECT customers.region_id AS c4278, books.id
FROM books LEFT JOIN customers ON books.id = customers.id
GROUP BY customers.region_id, books.id
ORDER BY books.id ASC;"
262,14600,277,110,"SELECT t1.department_id AS c5186, t0.id, t1.id
FROM regions AS t0 CROSS JOIN employees AS t1;"
263,8650,330,5,"SELECT markets.id, departments.id, regions.id
FROM regions LEFT JOIN departments ON regions.id = departments.id JOIN markets ON regions.id = markets.id
WHERE markets.note != 'Old World'
ORDER BY markets.id ASC, regions.id DESC;"
264,17220,885,500,"SELECT users.id AS c6920, markets.region AS c5238, users.age AS c1104
FROM markets RIGHT JOIN users ON markets.id = users.id RIGHT JOIN customers ON markets.id = customers.id;"
265,9220,277,17,"SELECT t1.id, t0.id AS c2693
FROM users AS t0 LEFT JOIN regions AS t1 ON t0.id = t1.id;"
266,1133,239,1,"SELECT customers.id AS c604, customers.region_id
FROM customers
WHERE customers.id = 135
ORDER BY customers.id DESC, customers.region_id DESC;"
267,1610,140,0,"SELECT books.id
FROM books
WHERE books.price IS NULL;"
268,649400,33743,11,"SELECT employees.department_id, SUM(orders.customer_id)
FROM orders CROSS JOIN books CROSS JOIN employees
GROUP BY employees.department_id;"
269,1220,121,3,"SELECT books.price AS c8205
FROM books;"
270,1220,1113,5000,"SELECT orders.id AS c7922
FROM orders;"
271,2972,1247,0,"SELECT orders.id AS c8902, departments.id AS c4368, orders.customer_id
FROM orders JOIN departments ON orders.id = departments.id
WHERE ((orders.customer_id = 483 AND departments.id > 4) AND orders.id != 24);"
272,8660,1918,2,"SELECT orders.customer_id, orders.id, COUNT(*), COUNT(*)
FROM orders RIGHT JOIN books ON orders.id = books.id
WHERE books.id != 1
GROUP BY orders.customer_id, orders.id;"
273,6320,156,11,"SELECT t0.id, SUM(t0.department_id), COUNT(t0.department_id)
FROM employees AS t0
GROUP BY t0.id;"
274,1244,152,2,"SELECT t0.id AS c7269, t0.age
FROM users AS t0
WHERE t0.age IN (33, 33);"
275,1122,1452,0,"SELECT orders.id AS c6877
FROM orders
WHERE ((orders.customer_id <= 56 OR orders.customer_id != 343) AND (orders.customer_id IN (52, 86) AND orders.customer_id >= 224));"
276,73300,1476,11,"SELECT users.age AS c7960, SUM(users.id)
FROM customers CROSS JOIN users
GROUP BY users.age
ORDER BY users.age ASC;"
277,1643,169,1,"SELECT t0.id
FROM departments AS t0
WHERE ((t0.id IN (2, 10, 59) OR t0.id IS NULL) AND (t0.id != 5 AND t0.id IS NOT NULL))
GROUP BY t0.id
ORDER BY t0.id DESC;"
278,9976,278,5,"SELECT t1.id AS c8751
FROM users AS t0 RIGHT JOIN departments AS t1 ON t0.id = t1.id
WHERE (t0.age IS NULL OR (t1.id != 5 OR t1.id < 14));"
279,3432,1033,0,"SELECT regions.id, orders.id, COUNT(*), SUM(orders.customer_id)
FROM orders RIGHT JOIN regions ON orders.id = regions.id
WHERE ((regions.id IN (8, 9, 22) AND regions.id <= 6) AND orders.id IN (39, 49, 104, 106))
GROUP BY regions.id, orders.id;"
280,9122,6240,0,"SELECT orders.customer_id
FROM users FULL JOIN orders ON users.id = orders.id
WHERE ((users.age > 33 AND orders.customer_id < 84) AND (users.id = 15 OR orders.id IN (68, 128, 128, 198)));"
281,1133,155,0,"SELECT t0.id, t0.note, t0.region
FROM markets AS t0
WHERE ((t0.note = 'unknown' AND t0.id != 1) AND t0.id > 67)
ORDER BY t0.id ASC, t0.note DESC;"
282,84010,11429,9,"SELECT employees.id, orders.customer_id AS c5471, books.price
FROM books CROSS JOIN orders LEFT JOIN employees ON orders.id = employees.id
WHERE employees.id > 66;"
283,83533,2140,0,"SELECT books.id, markets.id, books.price AS c2723
FROM books CROSS JOIN customers FULL JOIN markets ON customers.id = markets.id
WHERE ((markets.id > 55 AND customers.region_id NOT IN (8, 9, 10)) AND markets.region IN ('AMERICA', 'EUROPE'))
ORDER BY books.id DESC, markets.id ASC;"
284,6760,178,2,"SELECT t0.region AS c1153, SUM(t0.id) AS c3569
FROM markets AS t0
GROUP BY t0.region
ORDER BY t0.region ASC;"
285,20522,379,0,"SELECT employees.id AS c5654, users.id
FROM markets FULL JOIN employees ON markets.id = employees.id CROSS JOIN users
WHERE ((markets.note = 'Fast lane' AND employees.department_id NOT BETWEEN 11 AND 37) AND (users.id != 4 AND users.age <= 443));"
286,10308,882,3,"SELECT customers.id, COUNT(customers.id) AS c434, COUNT(*)
FROM customers FULL JOIN departments ON customers.id = departments.id
WHERE departments.id BETWEEN 2 AND 4
GROUP BY customers.id
ORDER BY customers.id DESC;"
287,8435,270,0,"SELECT t2.id, t1.id, t0.id
FROM books AS t0 JOIN departments AS t1 ON t0.id = t1.id RIGHT JOIN regions AS t2 ON t1.id = t2.id
WHERE t0.id IS NULL;"
288,4122,173,1,"SELECT regions.id AS c1673
FROM users JOIN regions ON users.id = regions.id
WHERE (users.age IN (33, 47, 98) OR users.id > 54);"
289,14060,267,3,"SELECT departments.id, books.price AS c551
FROM departments CROSS JOIN books
WHERE departments.id = 5
ORDER BY departments.id DESC;"
290,8660,1278,6,"SELECT t2.region, t1.department_id, t0.customer_id AS c8493
FROM orders AS t0 JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN markets AS t2 ON t1.id = t2.id
WHERE t0.customer_id < 239;"
291,23720,4263,10,"SELECT orders.id, COUNT(orders.id), SUM(regions.id)
FROM users CROSS JOIN orders JOIN regions ON orders.id = regions.id
GROUP BY orders.id;"
292,6760,174,3,"SELECT t0.region, t0.id, SUM(t0.id), COUNT(*)
FROM markets AS t0
GROUP BY t0.region, t0.id
ORDER BY t0.region ASC, t0.id DESC;"
293,9122,273,0,"SELECT t0.age, t1.id
FROM users AS t0 FULL JOIN books AS t1 ON t0.id = t1.id
WHERE (t0.age = 18 AND (t0.age != 123 AND t1.id <= 89));"
294,6688,160,3,"SELECT books.price AS c6589, books.id, COUNT(*)
FROM books
WHERE ((books.price > 77 OR books.id < 3) OR (books.price IN (49, 55, 55, 77) OR books.price IN (26, 66, 66, 68)))
GROUP BY books.price, books.id;"
295,8970,187,5,"SELECT users.id, SUM(users.age), COUNT(users.id)
FROM users JOIN departments ON users.id = departments.id
GROUP BY users.id;"
296,1660,154,3,"SELECT t0.region, t0.id AS c2775, t0.note
FROM markets AS t0
ORDER BY t0.id DESC;"
297,13848,1207,22,"SELECT t2.department_id
FROM orders AS t0 JOIN users AS t1 ON t0.id = t1.id FULL JOIN employees AS t2 ON t0.id = t2.id
WHERE ((t2.id NOT BETWEEN 4 AND 6 OR t1.age != 21) OR t0.id <= 61);"
298,2098,152,4,"SELECT departments.id
FROM departments
WHERE ((departments.id NOT IN (4, 4, 5, 7) OR departments.id NOT IN (2, 5)) OR (departments.id NOT BETWEEN 3 AND 27 OR departments.id IS NULL));"
299,8375,263,0,"SELECT books.price, employees.id AS c7128
FROM employees RIGHT JOIN books ON employees.id = books.id
WHERE ((books.id > 68 OR books.id >= 52) AND (employees.department_id < 6 OR employees.department_id != 1))
ORDER BY books.price DESC;"
300,10775,4138,4965,"SELECT orders.id AS c9121
FROM orders LEFT JOIN departments ON orders.id = departments.id RIGHT JOIN books ON departments.id = books.id
WHERE orders.customer_id <= 497
ORDER BY orders.id ASC;"
301,10170,180,3,"SELECT users.id, COUNT(markets.id), SUM(markets.id)
FROM users JOIN markets ON users.id = markets.id
GROUP BY users.id;"
302,12310,647,500,"SELECT regions.id, customers.region_id, employees.id
FROM regions FULL JOIN employees ON regions.id = employees.id JOIN customers ON regions.id = customers.id
ORDER BY customers.region_id ASC, employees.id ASC, regions.id ASC;"
303,1610,151,8,"SELECT employees.id, employees.department_id
FROM employees
WHERE ((employees.id <= 33 OR employees.id = 3) OR (employees.department_id NOT IN (5) AND employees.id = 67));"
304,1220,128,11,"SELECT employees.department_id AS c3770
FROM employees;"
305,2896,164,2,"SELECT regions.id AS c2143, COUNT(*), COUNT(*)
FROM regions
WHERE regions.id IN (3, 10, 89)
GROUP BY regions.id;"
306,8074,195,5,"SELECT employees.id, employees.department_id, SUM(employees.id), SUM(employees.department_id) AS c8963
FROM employees JOIN departments ON employees.id = departments.id
WHERE (departments.id <= 3 OR (employees.id = 68 OR employees.id <= 6))
GROUP BY employees.id, employees.department_id;"
307,12510,1269,3,"SELECT t0.note AS c4138
FROM markets AS t0 JOIN regions AS t1 ON t0.id = t1.id RIGHT JOIN orders AS t2 ON t0.id = t2.id
WHERE ((t2.customer_id = 298 OR t0.region = 'AMERICA') OR t0.region != 'AMERICA')
GROUP BY t0.note;"
308,4325,166,1,"SELECT departments.id, COUNT(*) AS c9125
FROM departments
WHERE (departments.id > 56 OR departments.id = 4)
GROUP BY departments.id
ORDER BY departments.id DESC;"
309,1632,153,1,"SELECT t0.id AS c7541, COUNT(t0.id)
FROM markets AS t0
WHERE (t0.note != 'Fast lane' AND (t0.id = 3 OR t0.note = 'Old World'))
GROUP BY t0.id;"
310,20325,11529,7,"SELECT t1.id, t2.id, SUM(t2.id)
FROM customers AS t0 RIGHT JOIN users AS t1 ON t0.id = t1.id LEFT JOIN orders AS t2 ON t0.id = t2.id
WHERE (t2.customer_id < 243 OR (t2.id >= 38 AND t2.customer_id = 302))
GROUP BY t1.id, t2.id
ORDER BY t2.id ASC;"
311,9432,2641,2,"SELECT t0.region, t1.customer_id AS c7183
FROM markets AS t0 RIGHT JOIN orders AS t1 ON t0.id = t1.id
WHERE ((t0.id <= 3 OR t0.note = 'Fast lane') AND (t0.note != 'North, South' OR t0.note = 'Fast lane'))
ORDER BY t0.region ASC;"
312,11870,1089,5,"SELECT t1.id, t0.id
FROM departments AS t0 LEFT JOIN orders AS t1 ON t0.id = t1.id JOIN employees AS t2 ON t1.id = t2.id;"
313,12504,1024,2,"SELECT employees.id, orders.id AS c4699, orders.customer_id
FROM departments JOIN orders ON departments.id = orders.id LEFT JOIN employees ON departments.id = employees.id
WHERE employees.department_id NOT BETWEEN 5 AND 33;"
314,2264,168,13,"SELECT t0.age, t0.id
FROM users AS t0
WHERE (t0.age > 5 AND t0.id != 2)
GROUP BY t0.age, t0.id;"
315,6110,185,5,"SELECT t0.id
FROM regions AS t0 JOIN departments AS t1 ON t0.id = t1.id
WHERE t1.id IS NOT NULL
GROUP BY t0.id;"
316,6320,133,3,"SELECT books.id
FROM books
GROUP BY books.id;"
317,9220,2702,5000,"SELECT orders.id AS c7996, books.price
FROM books FULL JOIN orders ON books.id = orders.id;"
318,22320,329,4,"SELECT books.price, books.id
FROM books FULL JOIN employees ON books.id = employees.id RIGHT JOIN regions ON employees.id = regions.id
GROUP BY books.price, books.id;"
319,2896,146,3,"SELECT books.id AS c9150, books.price, COUNT(books.id)
FROM books
WHERE ((books.price IN (76, 77) AND books.id BETWEEN 1 AND 96) OR books.price IN (55, 66, 77))
GROUP BY books.id, books.price;"
320,4970,237,11,"SELECT customers.region_id, employees.id
FROM customers JOIN employees ON customers.id = employees.id;"
321,16824,934,10,"SELECT t0.id AS c6071, COUNT(*), COUNT(*) AS c7241
FROM regions AS t0 CROSS JOIN customers AS t1
WHERE ((t1.id >= 59 OR t0.id IS NULL) AND t1.id = 126)
GROUP BY t0.id;"
322,17220,823,500,"SELECT t1.region_id, t1.id, t2.price
FROM regions AS t0 RIGHT JOIN customers AS t1 ON t0.id = t1.id LEFT JOIN books AS t2 ON t0.id = t2.id;"
323,14275,522,3,"SELECT t0.region_id
FROM customers AS t0 RIGHT JOIN users AS t1 ON t0.id = t1.id RIGHT JOIN markets AS t2 ON t1.id = t2.id
WHERE t1.id < 14
ORDER BY t0.region_id ASC;"
324,12160,2620,3,"SELECT orders.id AS c4187, regions.id
FROM departments JOIN orders ON departments.id = orders.id LEFT JOIN regions ON departments.id = regions.id
WHERE regions.id < 4;"
